clamp_magnitude,forward,forward_ci95,sideways,sideways_ci95,n_participants,ballistic_fraction,sample_percent,panel,path_type
37.84937238493723,-6.0315384796848885,,9.564547400447964,,,0.2,20.0,Human,smoothed_path
38.55230125523012,-5.880139208682681,,9.596015882208814,,,0.2,20.0,Human,smoothed_path
39.255230125523006,-5.735651450307343,,9.618334232334853,,,0.2,20.0,Human,smoothed_path
39.9581589958159,-5.5982344496882295,,9.631617855310056,,,0.2,20.0,Human,smoothed_path
40.66108786610879,-5.467997594199205,,9.63605368878453,,,0.2,20.0,Human,smoothed_path
41.36401673640167,-5.345001278760522,,9.63189727256546,,,0.2,20.0,Human,smoothed_path
42.06694560669456,-5.229258402280962,,9.619468981464628,,,0.2,20.0,Human,smoothed_path
42.76987447698745,-5.120736426135977,,9.599149526577264,,,0.2,20.0,Human,smoothed_path
43.47280334728033,-5.019359917755963,,9.571374837726058,,,0.2,20.0,Human,smoothed_path
44.17573221757322,-4.925013497883068,,9.536630443785644,,,0.2,20.0,Human,smoothed_path
44.87866108786611,-4.8375451086453065,,9.495445467768029,,,0.2,20.0,Human,smoothed_path
45.58158995815899,-4.756769520964779,,9.448386350398263,,,0.2,20.0,Human,smoothed_path
46.28451882845188,-4.682472003542313,,9.396050410027584,,,0.2,20.0,Human,smoothed_path
46.98744769874477,-4.614412081268106,,9.339059338745585,,,0.2,20.0,Human,smoothed_path
47.69037656903765,-4.5523273179024635,,9.278052725086653,,,0.2,20.0,Human,smoothed_path
48.39330543933054,-4.4959370657676,,9.213681683366012,,,0.2,20.0,Human,smoothed_path
49.096234309623426,-4.444946133541329,,9.146602658948234,,,0.2,20.0,Human,smoothed_path
49.79916317991631,-4.399048331649932,,9.077471468088032,,,0.2,20.0,Human,smoothed_path
50.5020920502092,-4.357929862888411,,9.00693762073983,,,0.2,20.0,Human,smoothed_path
51.205020920502086,-4.321272533489372,,8.935638965168641,,,0.2,20.0,Human,smoothed_path
51.90794979079497,-4.2887567667255055,,8.864196684483598,,,0.2,20.0,Human,smoothed_path
52.61087866108786,-4.260064407139498,,8.793210667451927,,,0.2,20.0,Human,smoothed_path
53.313807531380746,-4.234881308584384,,8.723255269165072,,,0.2,20.0,Human,smoothed_path
54.01673640167363,-4.212899703414246,,8.654875471296958,,,0.2,20.0,Human,smoothed_path
54.71966527196653,-4.193820353418534,,8.588583446755218,,,0.2,20.0,Human,smoothed_path
