subsetSlug,subsetLabel,syntheticId,model,parameter,trueValue,recoveredValue,error,absError
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0010,MeanTimeseriesBaseBCC,lr,0.22348532409975483,0.22469611492171568,0.0012107908219608499,0.0012107908219608499
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0011,MeanTimeseriesBaseBCC,propVar_mouse,737.879971501022,999.9999999987583,262.12002849773626,262.12002849773626
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0011,MeanTimeseriesBaseBCC,propVar_trackpad,383.77224638217393,597.600541992113,213.82829560993906,213.82829560993906
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0011,MeanTimeseriesBaseBCC,visVarSlope,0.4687267798443864,0.49460628502145576,0.025879505177069384,0.025879505177069384
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0011,MeanTimeseriesBaseBCC,retention,0.9553696089418986,0.9505564887817861,-0.004813120160112483,0.004813120160112483
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0011,MeanTimeseriesBaseBCC,lr,0.036298408876117426,0.04290629928320768,0.0066078904070902555,0.0066078904070902555
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0012,MeanTimeseriesBaseBCC,propVar_mouse,631.4786764727838,632.044969795001,0.5662933222171205,0.5662933222171205
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0012,MeanTimeseriesBaseBCC,propVar_trackpad,392.1358501570256,391.32390522176473,-0.8119449352608399,0.8119449352608399
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0012,MeanTimeseriesBaseBCC,visVarSlope,0.46732474405570446,0.4675220039257993,0.0001972598700948347,0.0001972598700948347
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0012,MeanTimeseriesBaseBCC,retention,0.9878073049387244,0.987989381686224,0.00018207674749959324,0.00018207674749959324
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0012,MeanTimeseriesBaseBCC,lr,0.20115891137589242,0.19891844257558486,-0.0022404688003075657,0.0022404688003075657
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0013,MeanTimeseriesBaseBCC,propVar_mouse,538.5524647496053,581.0281987433038,42.475733993698555,42.475733993698555
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0013,MeanTimeseriesBaseBCC,propVar_trackpad,458.31769375957765,498.4863914978246,40.168697738246976,40.168697738246976
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0013,MeanTimeseriesBaseBCC,visVarSlope,0.3628103406882738,0.3663153842053853,0.0035050435171115057,0.0035050435171115057
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0013,MeanTimeseriesBaseBCC,retention,0.9497153823508865,0.9484241356234238,-0.0012912467274627248,0.0012912467274627248
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0013,MeanTimeseriesBaseBCC,lr,0.13840752634610087,0.14145837852288118,0.0030508521767803054,0.0030508521767803054
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0014,MeanTimeseriesBaseBCC,propVar_mouse,336.6145273023449,461.68131633985394,125.06678903750901,125.06678903750901
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0014,MeanTimeseriesBaseBCC,propVar_trackpad,351.0277435274182,749.5681158180494,398.5403722906312,398.5403722906312
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0014,MeanTimeseriesBaseBCC,visVarSlope,0.5825915307704954,0.5853591822827187,0.002767651512223246,0.002767651512223246
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0014,MeanTimeseriesBaseBCC,retention,0.9602540560244709,0.9547726263895355,-0.005481429634935364,0.005481429634935364
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0014,MeanTimeseriesBaseBCC,lr,0.018478578755958666,0.019614479615913002,0.0011359008599543356,0.0011359008599543356
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0015,MeanTimeseriesBaseBCC,propVar_mouse,369.27507265694766,362.0768213972013,-7.198251259746371,7.198251259746371
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0015,MeanTimeseriesBaseBCC,propVar_trackpad,286.4125600738264,277.9045042824006,-8.508055791425818,8.508055791425818
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0015,MeanTimeseriesBaseBCC,visVarSlope,0.505996907353987,0.4995529308459603,-0.006443976508026639,0.006443976508026639
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0015,MeanTimeseriesBaseBCC,retention,0.9770172526436868,0.9772676773093784,0.0002504246656915843,0.0002504246656915843
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0015,MeanTimeseriesBaseBCC,lr,0.24843770255965186,0.24350130581449755,-0.004936396745154309,0.004936396745154309
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0016,MeanTimeseriesBaseBCC,propVar_mouse,627.9088626912356,896.1359521161534,268.2270894249177,268.2270894249177
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0016,MeanTimeseriesBaseBCC,propVar_trackpad,349.69955054468994,84.46202128641065,-265.2375292582793,265.2375292582793
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0016,MeanTimeseriesBaseBCC,visVarSlope,0.5668384553296428,0.4706844253055793,-0.09615403002406353,0.09615403002406353
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0016,MeanTimeseriesBaseBCC,retention,0.9567795924152972,0.9661005804648356,0.009320988049538403,0.009320988049538403
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0016,MeanTimeseriesBaseBCC,lr,0.007199016900819312,0.0055633644126634706,-0.0016356524881558417,0.0016356524881558417
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0017,MeanTimeseriesBaseBCC,propVar_mouse,283.23976341053526,330.4349687908299,47.195205380294624,47.195205380294624
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0017,MeanTimeseriesBaseBCC,propVar_trackpad,611.7587676142333,946.9424223903859,335.1836547761526,335.1836547761526
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0017,MeanTimeseriesBaseBCC,visVarSlope,0.42598119356378383,0.4390258835808781,0.01304469001709424,0.01304469001709424
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0017,MeanTimeseriesBaseBCC,retention,0.9564837969505816,0.9558640343477615,-0.0006197626028201508,0.0006197626028201508
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0017,MeanTimeseriesBaseBCC,lr,0.15879446363518,0.15586791066405842,-0.002926552971121571,0.002926552971121571
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0018,MeanTimeseriesBaseBCC,propVar_mouse,308.7742190039511,256.5298982358023,-52.24432076814878,52.24432076814878
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0018,MeanTimeseriesBaseBCC,propVar_trackpad,584.2036725447655,420.9073665900737,-163.29630595469177,163.29630595469177
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0018,MeanTimeseriesBaseBCC,visVarSlope,0.4196928116928412,0.400138165828278,-0.01955464586456318,0.01955464586456318
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0018,MeanTimeseriesBaseBCC,retention,0.9678851798054086,0.9684176952082258,0.0005325154028172907,0.0005325154028172907
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0018,MeanTimeseriesBaseBCC,lr,0.09555762755647618,0.09440662954625148,-0.0011509980102246964,0.0011509980102246964
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0019,MeanTimeseriesBaseBCC,propVar_mouse,598.9739587413036,613.1741060205384,14.200147279234784,14.200147279234784
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0019,MeanTimeseriesBaseBCC,propVar_trackpad,323.17016501063773,328.9557264828532,5.785561472215477,5.785561472215477
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0019,MeanTimeseriesBaseBCC,visVarSlope,0.27629026918966926,0.27724159603519494,0.0009513268455256796,0.0009513268455256796
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0019,MeanTimeseriesBaseBCC,retention,0.9542390093807874,0.9536577851305059,-0.000581224250281509,0.000581224250281509
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0019,MeanTimeseriesBaseBCC,lr,0.30485012607839806,0.3068195087812539,0.0019693827028558486,0.0019693827028558486
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0000,MeanTimeseriesCausalInf,senseVar_mouse,4889.2469828410685,5977.570740757536,1088.323757916468,1088.323757916468
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0000,MeanTimeseriesCausalInf,senseVar_trackpad,2422.794171107644,1633.1957751452378,-789.5983959624064,789.5983959624064
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0000,MeanTimeseriesCausalInf,c,0.07974736054492076,3.573168609344659e-05,-0.07971162885882732,0.07971162885882732
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0000,MeanTimeseriesCausalInf,retention,0.9910311762180227,0.9417466722860732,-0.0492845039319495,0.0492845039319495
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0000,MeanTimeseriesCausalInf,lr,0.9916407195841755,0.025856288319186693,-0.9657844312649888,0.9657844312649888
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0001,MeanTimeseriesCausalInf,senseVar_mouse,5067.115112151723,5041.175825927886,-25.93928622383737,25.93928622383737
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0001,MeanTimeseriesCausalInf,senseVar_trackpad,1173.7612390044276,1197.2823305015922,23.52109149716466,23.52109149716466
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0001,MeanTimeseriesCausalInf,c,0.32457342454753907,0.3486539945347724,0.024080569987233347,0.024080569987233347
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0001,MeanTimeseriesCausalInf,retention,0.9546290076384564,0.95520145250444,0.0005724448659836234,0.0005724448659836234
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0001,MeanTimeseriesCausalInf,lr,0.939802457976732,1.0,0.06019754202326799,0.06019754202326799
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0002,MeanTimeseriesCausalInf,senseVar_mouse,4532.160700593487,4535.596415590556,3.4357149970692262,3.4357149970692262
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0002,MeanTimeseriesCausalInf,senseVar_trackpad,728.6112538121325,729.2227924225548,0.611538610422258,0.611538610422258
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0002,MeanTimeseriesCausalInf,c,0.12939677513585718,0.13773610576878945,0.008339330632932268,0.008339330632932268
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0002,MeanTimeseriesCausalInf,retention,0.957689111433381,0.9573705067410986,-0.0003186046922823982,0.0003186046922823982
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0002,MeanTimeseriesCausalInf,lr,0.9048901965969024,0.96683108273021,0.061940886133307616,0.061940886133307616
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0003,MeanTimeseriesCausalInf,senseVar_mouse,5057.025408977177,5102.441230279933,45.41582130275583,45.41582130275583
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0003,MeanTimeseriesCausalInf,senseVar_trackpad,408.2551384574068,430.04279017969395,21.787651722287137,21.787651722287137
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0003,MeanTimeseriesCausalInf,c,0.6787796396675291,0.5858443561191542,-0.09293528354837488,0.09293528354837488
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0003,MeanTimeseriesCausalInf,retention,0.9628024097858278,0.9648804938774237,0.002078084091595933,0.002078084091595933
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0003,MeanTimeseriesCausalInf,lr,0.9848329844317253,0.7964639103580543,-0.18836907407367098,0.18836907407367098
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0004,MeanTimeseriesCausalInf,senseVar_mouse,5217.388187826753,10000.0,4782.611812173247,4782.611812173247
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesCausalInf_0004,MeanTimeseriesCausalInf,senseVar_trackpad,851.3315599536168,1385.243918239708,533.9123582860911,533.9123582860911
