series_id,series_label,source_paper,source_year,source_doi,source_dataset,source_dataset_doi,source_dataset_url,source_experiment,group_id,perturbation_size_deg,subject_id,trial_type_code,phase,cycle_num,hand_angle_deg
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,62,4.43532611634788
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,63,8.603153281458
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,64,9.5815259328318
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,65,6.95528446311693
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,66,8.67009285048103
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,67,4.17999003073114
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,68,9.58210122690626
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,69,8.56160167757735
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,70,10.3510737680764
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,71,10.0337205752714
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,72,7.98993054831635
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,73,9.86945076425427
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,74,12.6515169161282
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,75,5.26663870999501
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,76,9.02596392196297
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,77,8.65619776033669
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,78,8.14366405554599
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,79,7.16833236438834
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,80,9.35298525801961
zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,1,2.0,1,1,adaptation,81,6.68319060182864
