n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,phase,clamp_magnitude,n_participants,measure
49,27.873944143005684,26.58193514006252,3.797419305723217,20.238720897645305,35.509167388366066,24.72285327911377,9.807823181152344,44.57618255615235,-22.21938524246216,146.5557746887207,Late adaptation,50,49,Late adaptation mean
48,24.220463027758523,29.046570601466044,4.1925113389479725,15.786218112925463,32.654707942591585,25.044040870666503,4.283727002143859,35.51083814054728,-40.11248626708984,134.77950057983398,Late adaptation,55,48,Late adaptation mean
46,18.197274300099718,28.81575087220087,4.248650676669479,9.64005257404882,26.754496026150616,19.79564099311829,6.682955288887024,30.87694898992777,-105.39190716445448,89.26419429779052,Late adaptation,60,46,Late adaptation mean
48,22.096271154587157,35.149630480104065,5.073412154900989,11.889882379723804,32.30265992945051,23.18702278137207,13.18272128105164,37.97137804031372,-125.48857192993164,145.21856307983398,Late adaptation,65,48,Late adaptation mean
46,21.27480950224335,20.4102104471911,3.009321353866974,15.213725165188382,27.33589383929832,20.177906036376953,12.303577160835266,36.68810498714447,-15.210623741149902,68.05376358032227,Late adaptation,70,46,Late adaptation mean
48,25.672936323250173,26.902127089560828,3.882987579232867,17.86137289579795,33.4844997507024,23.921697998046874,7.247739923000335,35.0259467124939,-20.96277160644531,125.7599391937256,Late adaptation,75,48,Late adaptation mean
46,15.601275223396398,20.404311806687154,3.0084516467724174,9.54194256634791,21.660607880444886,17.980152159929276,1.4544604301452635,32.54757537841797,-30.27266082763672,53.24176073074341,Late adaptation,80,46,Late adaptation mean
48,22.555828459669527,26.22085216342856,3.7846540137342153,14.942086649790438,30.169570269548615,19.23172960281372,8.87949371337891,34.30235500335693,-30.01072311401368,147.58065071105958,Late adaptation,85,48,Late adaptation mean
46,18.557972720783688,18.232947530819025,2.6883014504135585,13.143455659172446,23.97248978239493,17.16636352539063,6.426421737670899,26.342240169644356,-19.366972351074217,76.70816872715949,Late adaptation,90,46,Late adaptation mean
49,15.27289024698643,28.948524652467917,4.135503521781131,6.957903125815868,23.58787736815699,10.32991371154785,3.263709449768065,26.250274658203125,-31.74099998474121,156.3905090942979,Late adaptation,95,49,Late adaptation mean
48,15.262845617963466,24.785572561413247,3.577489247587735,8.065865561158603,22.45982567476833,16.943542480468757,2.5451423883438093,24.043478202819827,-42.63633880615235,144.2484893798828,Late adaptation,100,48,Late adaptation mean
49,16.4365763503678,25.642879581368668,3.6632685116240955,9.071081354386006,23.802071346349596,12.90488586425781,4.9092727661132844,23.55594711303711,-21.426975631713866,156.27158813476564,Late adaptation,105,49,Late adaptation mean
48,14.748266404370469,24.27018855421314,3.5030999737644826,7.70093826350278,21.795594545238156,14.597502040863038,4.6672416687011715,21.261684465408326,-29.485080003738403,145.57626571655274,Late adaptation,110,48,Late adaptation mean
49,10.087045698749776,27.573897362838643,3.939128194691235,2.166897635765987,18.007193761733564,6.501153564453119,-0.6425300598144537,18.345634460449222,-83.9405927658081,149.2871871948242,Late adaptation,115,49,Late adaptation mean
48,14.570824900642037,26.492687930982104,3.823890127127317,6.87815021184875,22.263499589435327,13.223582229018216,6.2128031253814635,21.631392526626588,-44.76810073852539,156.22413597106933,Late adaptation,120,48,Late adaptation mean
49,6.338230535828945,28.57172902468093,4.081675574954419,-1.8685282445202809,14.544989316178171,3.006770515441894,-3.8573448181152417,15.874029159545897,-82.89096164703369,139.91265869140625,Late adaptation,125,49,Late adaptation mean
48,6.313610193754236,26.66498270036524,3.8487587349981465,-1.4290936810128567,14.05631406852133,-1.055142402648928,-7.3981974363327,14.550564861297607,-33.382560348510744,153.89329147338867,Late adaptation,130,48,Late adaptation mean
48,1.5337251209964353,18.026380490454457,2.6018839071696247,-3.700590147078195,6.768040389071066,2.120738124847412,-8.937778544425967,11.708657109737397,-75.5190669298172,57.45098533630371,Late adaptation,135,48,Late adaptation mean
49,1.6475620795269408,14.37046425289591,2.0529234646994157,-2.480117193340067,5.775241352393948,2.0644275665283205,-8.170251464843755,7.480430603027344,-32.961717224121095,43.761801147460936,Late adaptation,140,49,Late adaptation mean
48,-0.7193595483899108,13.760704360185953,1.9861865916480543,-4.71505158263514,3.276332485855318,0.19712638854980902,-7.862558221817018,4.1480938911438,-31.63741569519043,41.79640507698059,Late adaptation,145,48,Late adaptation mean
49,0.03945439889722942,15.317476268260666,2.1882108954658093,-4.360238484538372,4.43914728233283,0.4445709228515567,-11.76309814453125,10.66554946899414,-27.49251708984375,34.892354965209954,Late adaptation,150,49,Late adaptation mean
48,-2.044494443107397,21.512628400765216,3.1050804495395465,-8.291110581836335,4.202121695621541,-1.0335952281951906,-7.568987798690797,9.136556495353577,-117.00888900756836,35.330646276474,Late adaptation,155,48,Late adaptation mean
49,-2.0211327530291627,15.471068333458396,2.210152619065485,-6.464942428576455,2.42267692251813,-3.48161315917969,-11.905005073547365,8.165474319458006,-28.34917945861817,36.47678645551205,Late adaptation,160,49,Late adaptation mean
48,-3.3084780186259493,15.619944501452725,2.2545447906601863,-7.844037114015439,1.227081076763541,-6.655474567413328,-10.520026016235349,4.673328399658202,-48.33599681854248,43.89575424194337,Late adaptation,165,48,Late adaptation mean
49,-0.0776989221572883,14.20915080517068,2.029878686452954,-4.159043562900218,4.003645718585641,0.4479507446289032,-9.04158706665039,6.292266845703128,-37.79997863769532,35.05112533569336,Late adaptation,170,49,Late adaptation mean
