ppid,clamp_magnitude,group,pointer,value
170080221025,80,6,Mouse,6.075882720947265
208917626878,80,6,Trackpad,-5.0224039316177365
232846173923,80,6,Trackpad,25.415403747558592
239901129854,80,6,Mouse,3.1917738199233994
261405949946,80,6,Mouse,-1.9135502815246568
285770176909,80,6,Mouse,20.723271179199216
31763185048,80,6,Mouse,33.0471996486187
349368817172,80,6,Mouse,23.042864227294928
400006499374,80,6,Trackpad,27.18810577392578
416004814207,80,6,Mouse,1.2626918792724608
448455020785,80,6,Mouse,-9.776321411132809
472660400671,80,6,Mouse,30.180500793457025
479445978766,80,6,Mouse,3.4413017272949262
486883807927,80,6,Mouse,14.379149246215821
503219471313,80,6,Mouse,34.62535207793117
516834058798,80,6,Trackpad,38.387017047405244
520643238443,80,6,Mouse,5.815127944946288
522924106102,80,6,Mouse,43.896117401123036
526791953481,80,6,Trackpad,22.483124542236332
554797971853,80,6,Trackpad,5.501483154296875
56767792906,80,6,Mouse,32.50056304931641
607647950528,80,6,Trackpad,2.029766082763672
653112237341,80,6,Mouse,21.28989028930664
690112326992,80,6,Mouse,37.72549983859062
698263481259,80,6,Mouse,34.05540390014649
698323606979,80,6,Mouse,23.0342809677124
70501195034,80,6,Mouse,32.563246154785155
712610918562,80,6,Mouse,32.42759628295899
720964792417,80,6,Mouse,-30.27266082763672
72586384601,80,6,Mouse,39.49549865722656
73180105537,80,6,Mouse,53.24176073074341
74249908328,80,6,Mouse,48.33264846801758
75729007134,80,6,Trackpad,-4.753448772430415
804624028969,80,6,Mouse,23.005858993530275
812418627319,80,6,Mouse,-8.18411636352539
830310877645,80,6,Mouse,-19.85808148384094
837611209368,80,6,Trackpad,6.223488616943358
906737203476,80,6,Trackpad,12.917883300781252
994716872461,80,6,Trackpad,15.237033140659332
998236395651,80,6,Mouse,-28.610451686382294
104274630779,90,6,Mouse,45.09622850418091
11866547632,90,6,Trackpad,17.362122344970704
131377047859,90,6,Trackpad,4.198450469970699
132760789943,90,6,Mouse,17.3068344116211
163470105268,90,6,Trackpad,6.506897735595705
164780952734,90,6,Trackpad,7.183615493774414
170080221025,90,6,Mouse,14.745034790039053
208917626878,90,6,Trackpad,3.1628272533416757
232846173923,90,6,Trackpad,14.964996337890625
239901129854,90,6,Mouse,76.70816872715949
261405949946,90,6,Mouse,-1.8917404174804702
285770176909,90,6,Mouse,-1.8804920196533204
31763185048,90,6,Mouse,26.39079818725586
349368817172,90,6,Mouse,22.107060432434082
400006499374,90,6,Trackpad,11.98876075744629
416004814207,90,6,Mouse,10.717377853393554
448455020785,90,6,Mouse,-0.724790191650392
472660400671,90,6,Mouse,49.27205924987793
479445978766,90,6,Mouse,28.508155059814452
486883807927,90,6,Mouse,18.719684600830078
503219471313,90,6,Mouse,38.281130981445315
516834058798,90,6,Trackpad,17.025892639160155
520643238443,90,6,Mouse,34.08962707519531
522924106102,90,6,Mouse,15.265533638000488
526791953481,90,6,Trackpad,-6.6113207817077635
554797971853,90,6,Trackpad,-1.4301223754882926
56767792906,90,6,Mouse,38.70883560180664
607647950528,90,6,Trackpad,-2.0327144622802726
653112237341,90,6,Mouse,15.803287458419799
690112326992,90,6,Mouse,55.97200584411621
698263481259,90,6,Mouse,22.391832685470582
698323606979,90,6,Mouse,18.40361480712891
70501195034,90,6,Mouse,15.04334888458252
712610918562,90,6,Mouse,6.399596405029297
720964792417,90,6,Mouse,4.313955688476558
72586384601,90,6,Mouse,29.493782806396485
73180105537,90,6,Mouse,47.59205093383789
74249908328,90,6,Mouse,33.92326247692108
75729007134,90,6,Trackpad,14.498964881896972
804624028969,90,6,Mouse,21.983551025390625
812418627319,90,6,Mouse,24.77328643798828
830310877645,90,6,Mouse,-19.366972351074217
837611209368,90,6,Trackpad,-6.70999755859375
906737203476,90,6,Trackpad,18.460111999511717
994716872461,90,6,Trackpad,20.755584716796882
998236395651,90,6,Mouse,26.196566116809844
119388378225,95,7,Trackpad,-2.2618116378784174
142243756214,95,7,Trackpad,3.190824890136716
154695465695,95,7,Trackpad,12.725684928894044
172440417576,95,7,Mouse,8.720160484313965
206032965332,95,7,Trackpad,10.32991371154785
258433481445,95,7,Trackpad,-18.064358520507813
270836319308,95,7,Trackpad,-5.938015713915223
295092569896,95,7,Mouse,39.18429870605469
300018938491,95,7,Mouse,39.55607223510742
314153794897,95,7,Mouse,42.50189361572266
372902434784,95,7,Mouse,-19.42837600708008
374362493632,95,7,Trackpad,27.3541051864624
395156049868,95,7,Trackpad,3.263709449768065
412116680061,95,7,Mouse,10.474564361572261
426775530911,95,7,Mouse,2.975418472290038
455411954782,95,7,Mouse,34.62344818115234
482715387130,95,7,Mouse,40.367623901367196
491690849186,95,7,Trackpad,14.142995452880864
500659405486,95,7,Trackpad,-13.561424255371094
515614103525,95,7,Trackpad,26.250274658203125
529356644721,95,7,Mouse,-5.14416198730469
538891392759,95,7,Mouse,23.015668243169777
588954061502,95,7,Mouse,-9.558389472961425
621998446062,95,7,Trackpad,11.111988830566407
624326525488,95,7,Trackpad,29.90720977783203
630191511008,95,7,Mouse,5.330467796325683
650598146952,95,7,Mouse,12.37785272598267
678681607125,95,7,Trackpad,156.3905090942979
679935650900,95,7,Trackpad,27.64396286010743
69378932239,95,7,Trackpad,13.51920166015625
707165035419,95,7,Trackpad,-15.588970947265626
709011816186,95,7,Trackpad,31.109342193603517
710075415438,95,7,Trackpad,7.443387603759765
750330077949,95,7,Trackpad,9.570806884765627
813273714622,95,7,Mouse,17.831573486328125
826551196165,95,7,Mouse,11.959929466247559
84703686414,95,7,Mouse,28.90357360839844
850329221459,95,7,Trackpad,8.950757598876955
851634270977,95,7,Mouse,3.4380563497543335
852150209946,95,7,Mouse,7.846412658691409
852626928128,95,7,Mouse,10.079398345947265
876915090018,95,7,Trackpad,-31.74099998474121
911029371665,95,7,Mouse,13.21624526977539
914010886568,95,7,Trackpad,4.718423461914066
91524953255,95,7,Trackpad,6.737507152557373
915339582134,95,7,Mouse,10.292386627197263
933626258280,95,7,Mouse,12.773884582519532
94212257303,95,7,Mouse,95.68532295227051
996413567103,95,7,,13.698122024536135
99897861946,95,7,Mouse,-5.8567268371582015
119388378225,105,7,Trackpad,-2.6233238220214927
142243756214,105,7,Trackpad,11.342855072021484
154695465695,105,7,Trackpad,13.991914367675781
172440417576,105,7,Mouse,-11.579895782470704
206032965332,105,7,Trackpad,4.9092727661132844
258433481445,105,7,Trackpad,26.850832366943358
270836319308,105,7,Trackpad,-0.6155670166015632
295092569896,105,7,Mouse,38.45643844604492
300018938491,105,7,Mouse,51.66313171386719
314153794897,105,7,Mouse,40.31199264526367
372902434784,105,7,Mouse,-21.426975631713866
374362493632,105,7,Trackpad,15.979142761230467
395156049868,105,7,Trackpad,17.934484481811523
412116680061,105,7,Mouse,6.786150741577147
426775530911,105,7,Mouse,1.8458616256713867
455411954782,105,7,Mouse,39.28857803344727
482715387130,105,7,Mouse,39.77188224792481
491690849186,105,7,Trackpad,-1.8139297485351555
500659405486,105,7,Trackpad,9.2419864654541
515614103525,105,7,Trackpad,25.762832641601562
529356644721,105,7,Mouse,9.440002441406246
538891392759,105,7,Mouse,18.033419799804687
588954061502,105,7,Mouse,6.852555847167966
621998446062,105,7,Trackpad,-6.079237651824951
624326525488,105,7,Trackpad,2.5899522781372064
630191511008,105,7,Mouse,11.959306335449217
650598146952,105,7,Mouse,13.822179412841802
678681607125,105,7,Trackpad,156.27158813476564
679935650900,105,7,Trackpad,10.651235961914065
69378932239,105,7,Trackpad,-3.434339141845706
707165035419,105,7,Trackpad,13.419497680664062
709011816186,105,7,Trackpad,15.23064727783204
710075415438,105,7,Trackpad,16.727688598632817
750330077949,105,7,Trackpad,26.87761993408203
813273714622,105,7,Mouse,-4.553683471679688
826551196165,105,7,Mouse,23.55594711303711
84703686414,105,7,Mouse,25.781067371368408
850329221459,105,7,Trackpad,15.877826118469239
851634270977,105,7,Mouse,25.08387470245361
