n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,pointer,clamp_magnitude,n_participants
24,13.216876014027124,34.402302632099946,7.02234061878763,-1.3099423499827179,27.743694378036963,9.26078224182129,1.8276657581329327,17.16981525421143,-31.74099998474121,156.3905090942979,Trackpad,95,24
18,6.292536523275904,13.389616545033789,3.1559628854936617,-0.3659631356024047,12.951036182154212,5.323634243011476,-4.653401660919189,14.221876907348628,-15.353018283843994,36.67857407927512,Trackpad,100,18
24,18.591440439224243,31.99556221855818,6.531066789078271,5.080899421842378,32.10198145660611,13.70570602416992,3.796038675308229,18.597100067138673,-6.079237651824951,156.27158813476564,Trackpad,105,24
18,8.184237384796143,11.621609352209058,2.7392395937493417,2.404947018485979,13.963527751106307,10.885269737243652,-0.7837378978729246,15.70133991241455,-14.29473876953125,27.31957244873047,Trackpad,110,18
24,12.5819464802742,30.866537431386096,6.300605569451106,-0.45184918121947426,25.615742141767875,4.031058359146117,-0.622776484489441,16.32066764831543,-10.426694583892822,149.2871871948242,Trackpad,115,24
18,6.421574454837375,12.667022960536384,2.985645944280325,0.1224121316998863,12.720736777974864,7.2346899032592775,-1.7110359191894529,15.963543891906738,-17.79650917053223,24.38294906616211,Trackpad,120,18
24,7.659117916226386,32.37674650280867,6.608875705276748,-6.012383107807917,21.33061894026069,3.1416218757629393,-9.751329183578491,15.096216583251952,-34.91788883209229,139.91265869140625,Trackpad,125,24
18,-0.2725876212120052,14.459981642850297,3.40825035849748,-7.463367320725971,6.918192078301961,-2.9398520469665526,-9.31724179983139,8.420990705490116,-19.792414093017577,32.58053319454193,Trackpad,130,18
17,2.7598461936501906,19.259027800919576,4.671000345288142,-7.142232190990452,12.661924578290833,5.596507263183594,-11.536604309082035,13.84953231811524,-20.48332977294922,57.45098533630371,Trackpad,135,17
22,0.3690241336822522,11.667773539003283,2.487577676790536,-4.804176842806863,5.542225110171368,2.5280350208282436,-4.9893427848815906,6.364761924743653,-32.961717224121095,16.05578193664551,Trackpad,140,22
17,0.34245739263646807,10.541397228222962,2.556664365503324,-5.077428944124176,5.762343729397111,3.408697891235353,-6.346358489990234,5.015510559082034,-21.98600616455078,19.86967086791992,Trackpad,145,17
22,-2.2346542185003107,12.683065695219144,2.7040386918059895,-7.85801051865937,3.388702081658748,-0.7991394042968747,-11.190755462646486,10.228237533569333,-27.49251708984375,15.743017578125,Trackpad,150,22
17,-4.546325344197891,31.12020613645817,7.5477586465654065,-20.546858896294943,11.454208207899159,1.2782119750976604,-5.302934360504152,11.16921768188476,-117.00888900756836,17.791576385498047,Trackpad,155,17
22,-3.389676514538853,12.115596670964102,2.5830538893251953,-8.761431144457209,1.982078115379502,-4.908893966674807,-11.588207864761353,1.7576100349426285,-22.63189363479614,22.86528625488281,Trackpad,160,22
17,-1.0412406861782078,16.134011251495064,3.913072503224584,-9.336583822000984,7.254102449644568,0.8604904174804687,-5.889163208007813,6.546505737304685,-48.33599681854248,20.599580383300783,Trackpad,165,17
22,0.8774119160392061,11.660524777600727,2.48603223566682,-4.2925751396928185,6.04739897177123,0.46624946594238126,-3.3178991317749027,4.329711055755615,-20.5408203125,27.764138793945307,Trackpad,170,22
