ppid,clamp_magnitude,base_sd,n_baseline,pointer
290626679547,145,8.46510327098038,10,Mouse
290626679547,155,4.422090915852716,10,Mouse
290626679547,165,14.230392280721817,10,Mouse
290656034369,135,6.392753730297396,10,Trackpad
290656034369,145,7.77266083031656,10,Trackpad
290656034369,155,4.4681831613692635,10,Trackpad
290656034369,165,5.179539162523491,10,Trackpad
292629866395,135,8.442254135528374,10,Trackpad
292629866395,145,7.789897988810386,10,Trackpad
292629866395,155,4.741957756815655,10,Trackpad
292629866395,165,6.097192183122788,10,Trackpad
295092569896,95,16.14355602767712,10,Mouse
295092569896,105,6.014326396517261,10,Mouse
295092569896,115,12.01316762537946,10,Mouse
295092569896,125,60.44506435664948,10,Mouse
299489942844,2,7.217319749437788,10,Mouse
299489942844,4,7.168705144591417,10,Mouse
299489942844,6,4.123884172497546,10,Mouse
299489942844,8,6.614743774723503,10,Mouse
300018938491,95,3.090401257885961,10,Mouse
300018938491,105,7.024314524135386,10,Mouse
300018938491,115,6.649235138802555,10,Mouse
300018938491,125,6.336354630663378,10,Mouse
306810469599,15,3.9477162965509973,10,Mouse
306810469599,25,8.175316842713485,10,Mouse
306810469599,35,6.902260604253535,10,Mouse
306810469599,45,5.1090704639711575,10,Mouse
307390059111,3,10.760210848460765,10,Mouse
307390059111,5,6.616810535614959,10,Mouse
307390059111,7,6.917294143954564,10,Mouse
307390059111,10,7.187406967768338,10,Mouse
311279476853,15,5.977639757839591,10,Mouse
311279476853,25,7.570525992161097,10,Mouse
311279476853,35,10.594222396198187,10,Mouse
311279476853,45,7.835126611497921,10,Mouse
311518904287,15,7.932677647360008,10,Mouse
311518904287,25,7.236352444477172,10,Mouse
311518904287,35,9.988863552480073,10,Mouse
311518904287,45,22.868325563702125,10,Mouse
312810119008,20,33.37559507938749,10,Mouse
312810119008,30,54.073725984689126,10,Mouse
312810119008,40,11.134087644793246,10,Mouse
312810119008,50,30.540433215235,10,Mouse
313978052698,135,8.169794303493877,10,Trackpad
313978052698,145,7.161108569514694,10,Trackpad
