ppid,clamp_magnitude,group,value
112768063321,20,4,10.190815448760986
134751847945,20,4,-1.487936019897461
156593167223,20,4,-3.3164863586425795
204680910799,20,4,-2.8260953426361084
211178143741,20,4,-2.0275299072265627
211349502438,20,4,4.594998168945312
219666297547,20,4,1.6783721923828125
230918759014,20,4,-3.101949405670166
312810119008,20,4,-2.025970458984375
326328627765,20,4,1.9949981689453125
342998198233,20,4,-0.07598419189453125
375371629837,20,4,-0.5752220153808579
394487149082,20,4,-2.6377418518066413
425971333170,20,4,-3.647776794433594
432379164500,20,4,-0.29177017211914136
466315876226,20,4,1.9113876342773444
496473497245,20,4,-0.39947967529297157
498719011200,20,4,-2.5912796020507813
507283287821,20,4,1.9381069183349608
554310866631,20,4,-3.8550506591796876
554483397398,20,4,-3.1869608561197915
559884942136,20,4,-2.217932128906244
575425482820,20,4,2.694160461425784
577336943708,20,4,7.890391540527347
609066119184,20,4,-8.3128173828125
643459252314,20,4,-6.081534194946295
654411478666,20,4,-0.3409912109375
660965892719,20,4,2.137400817871094
664917210582,20,4,-3.795167350769043
667250633006,20,4,-2.008680725097656
769001317210,20,4,2.488554382324218
777654116973,20,4,0.6131042480468721
780990068335,20,4,0.8290328979492188
853101398795,20,4,-2.606268310546875
875036525540,20,4,-0.21079711914062482
890093759633,20,4,-4.194083404541017
890450031962,20,4,-0.6122344970703125
894260352710,20,4,-1.3442962646484375
894596827216,20,4,0.0904693603515625
942172447685,20,4,-3.3037094116210968
942594251362,20,4,7.764325761795044
993857921566,20,4,-1.803228759765625
995622965740,20,4,-2.446957397460943
3512277966,30,4,1.34892578125
23243432166,30,4,14.458246421813964
60516332508,30,4,-2.784352111816406
65172413131,30,4,-0.744976806640626
68466946249,30,4,2.7712432861328127
86995724355,30,4,-2.540842437744142
92512405244,30,4,0.8129547119140625
112768063321,30,4,-12.065467834472656
134751847945,30,4,-0.9911010742187528
156593167223,30,4,-0.8879470825195312
204680910799,30,4,-0.145062255859375
211178143741,30,4,-2.84290771484375
211349502438,30,4,1.964886474609375
219666297547,30,4,-0.45307159423827875
230918759014,30,4,-2.4650650024414076
312810119008,30,4,-4.098399353027344
326328627765,30,4,0.0074264526367159075
342998198233,30,4,-0.39893798828124966
375371629837,30,4,1.9626403808593806
394487149082,30,4,-1.6016616821289062
425971333170,30,4,-0.670823669433591
432379164500,30,4,-1.5657760620117185
466315876226,30,4,1.5274597167968749
496473497245,30,4,-4.256274414062501
498719011200,30,4,-2.1526870727539062
507283287821,30,4,6.043913793563843
554310866631,30,4,-2.5053222656250007
554483397398,30,4,-7.589164733886719
559884942136,30,4,-1.5701639175415039
575425482820,30,4,-1.7642299175262444
577336943708,30,4,-0.5934394836425781
609066119184,30,4,-2.7649932861328126
643459252314,30,4,0.4467376708984377
654411478666,30,4,-1.3087549209594727
660965892719,30,4,1.173797607421875
664917210582,30,4,-1.5135265350341793
667250633006,30,4,-0.5183502197265625
769001317210,30,4,-11.713501739501954
777654116973,30,4,-0.3599872589111328
780990068335,30,4,-1.058299255371094
853101398795,30,4,-0.4974945068359375
875036525540,30,4,1.8563623428344727
890093759633,30,4,-0.4723999023437502
890450031962,30,4,-3.8349517822265624
894260352710,30,4,-1.399057388305664
894596827216,30,4,1.35437068939209
942172447685,30,4,-1.1871826171875
942594251362,30,4,-3.5104766845703126
993857921566,30,4,-1.741293334960936
995622965740,30,4,-4.896490478515625
3512277966,40,4,-3.2468593597412108
23243432166,40,4,-15.228614807128906
60516332508,40,4,-3.6974151611328123
65172413131,40,4,-2.0703302383422852
68466946249,40,4,6.508625411987305
86995724355,40,4,-2.2907440185546877
92512405244,40,4,0.284661865234375
112768063321,40,4,-6.969451904296875
134751847945,40,4,0.17857208251953124
156593167223,40,4,-0.981701922416687
204680910799,40,4,-0.13205795288085936
211178143741,40,4,13.357405090332032
211349502438,40,4,2.7497323989868163
219666297547,40,4,3.3205078125
230918759014,40,4,-2.3234939575195312
312810119008,40,4,-3.459147644042969
326328627765,40,4,-0.31720848083496095
342998198233,40,4,-4.115216064453125
375371629837,40,4,0.31262969970703125
394487149082,40,4,-3.459593391418457
425971333170,40,4,-7.747328186035157
432379164500,40,4,-3.0948486328125
466315876226,40,4,0.03597259521484375
496473497245,40,4,-1.4439470291137695
498719011200,40,4,-2.490889739990235
507283287821,40,4,-2.57744140625
554310866631,40,4,-0.4773056030273466
554483397398,40,4,5.38148498535157
559884942136,40,4,-2.9770416259765624
575425482820,40,4,-1.372125244140625
577336943708,40,4,0.06661987304687803
609066119184,40,4,-1.6127323150634763
643459252314,40,4,-1.0383552551269546
654411478666,40,4,4.233225250244141
660965892719,40,4,0.8248184204101563
664917210582,40,4,-3.9974792480468695
667250633006,40,4,-0.5617027282714844
769001317210,40,4,-0.3013732910156307
777654116973,40,4,-1.9351638793945312
780990068335,40,4,-3.5500152587890623
853101398795,40,4,-1.0707229614257812
875036525540,40,4,-0.4916809082031248
890093759633,40,4,-1.7046371459960965
890450031962,40,4,-3.6765099287033083
894260352710,40,4,0.7268630981445255
894596827216,40,4,0.09636001586914063
942172447685,40,4,-2.5531585693359373
942594251362,40,4,-1.837836456298828
993857921566,40,4,-0.3353042602539091
995622965740,40,4,1.6455527797341332
3512277966,50,4,-3.1386184692382812
23243432166,50,4,9.1785493850708
