ppid,clamp_magnitude,baseline_bias,pointer
232846173923,60,-5.093931579589849,Trackpad
232846173923,70,2.927942657470703,Trackpad
232846173923,80,11.727426147460937,Trackpad
232846173923,90,-0.9237335205078182,Trackpad
234950867248,55,13.939442443847662,Mouse
234950867248,65,12.610057067871093,Mouse
234950867248,75,-3.7995254516601564,Mouse
234950867248,85,-4.564111328125,Mouse
238396474858,55,-10.380188369750977,Trackpad
238396474858,65,-3.5864257812499942,Trackpad
238396474858,75,-5.024822998046872,Trackpad
238396474858,85,-6.364990234375,Trackpad
239901129854,60,20.10178146362305,Mouse
239901129854,70,-4.706367492675787,Mouse
239901129854,80,-5.97164119631052,Mouse
239901129854,90,-1.543813419342041,Mouse
242302735568,55,10.2436798095703,Mouse
242302735568,65,0.6821636199951178,Mouse
242302735568,75,6.523109436035156,Mouse
242302735568,85,-5.4634887695312475,Mouse
244346351129,3,-25.080230784416198,Mouse
244346351129,5,-4.30936279296875,Mouse
244346351129,7,-10.709793090820312,Mouse
244346351129,10,8.607231903076174,Mouse
244418469024,2,34.441015625,Mouse
244418469024,6,31.705906677246094,Mouse
244418469024,8,33.79936075210571,Mouse
245267280377,55,15.584907531738281,Trackpad
245267280377,65,-20.82114715576172,Trackpad
245267280377,75,13.686671447753909,Trackpad
245267280377,85,-7.914298057556152,Trackpad
245556890498,100,-35.92080993652344,Mouse
245556890498,110,-2.9587564468383905,Mouse
245556890498,120,-4.148593902587891,Mouse
245556890498,130,-16.54090194702148,Mouse
247101632412,135,-12.68929443359375,Mouse
247101632412,145,0.8262460708618165,Mouse
247101632412,155,-0.7035949707031304,Mouse
247101632412,165,-13.721878051757821,Mouse
248674978269,140,-13.560623168945312,Trackpad
248674978269,150,-2.882954025268554,Trackpad
248674978269,160,7.254090118408203,Trackpad
248674978269,170,29.441198730468745,Trackpad
251308053499,100,14.869458007812494,Trackpad
251308053499,110,-15.527262783050537,Trackpad
251308053499,120,6.9227958679199215,Trackpad
251308053499,130,-18.050851440429692,Trackpad
252662312705,140,-1.1698822021484319,Trackpad
252662312705,150,14.123474121093754,Trackpad
252662312705,160,1.2281044006347654,Trackpad
252662312705,170,3.5485870361328127,Trackpad
25723101804,100,2.3272247314453134,Mouse
25723101804,110,3.6241638183593805,Mouse
25723101804,120,1.1406097412109346,Mouse
25723101804,130,17.97176284790039,Mouse
258433481445,95,0.40753517150878926,Trackpad
258433481445,105,-6.6447601318359375,Trackpad
258433481445,115,-0.07334747314453124,Trackpad
258433481445,125,-15.719560241699218,Trackpad
260547727346,100,-6.619404602050778,Trackpad
260547727346,110,-6.082431411743164,Trackpad
260547727346,120,13.451293754577637,Trackpad
260547727346,130,-1.1453269958496093,Trackpad
261405949946,60,8.741305541992187,Mouse
261405949946,70,13.816609191894532,Mouse
261405949946,80,-4.521475791931152,Mouse
261405949946,90,-11.2500701904297,Mouse
263123473152,100,-15.12467041015625,Trackpad
263123473152,110,17.660781860351552,Trackpad
263123473152,120,2.348004913330075,Trackpad
263123473152,130,-1.1722202301025382,Trackpad
263290655799,15,-4.259894180297851,Trackpad
263290655799,25,-2.9960922241210937,Trackpad
263290655799,35,-7.505285644531244,Trackpad
263290655799,45,20.697682571411132,Trackpad
263992263004,2,-4.891421890258789,Mouse
263992263004,4,-5.851455688476568,Mouse
263992263004,6,-14.707185363769534,Mouse
263992263004,8,-7.125987243652347,Mouse
264130884315,100,-17.983063220977783,Mouse
264130884315,110,-29.822415924072267,Mouse
264130884315,120,-15.127279663085943,Mouse
264130884315,130,-28.248683166503906,Mouse
266126640839,2,-4.493910217285159,Mouse
266126640839,4,-6.360070800781256,Mouse
266126640839,6,-9.652343749999996,Mouse
266126640839,8,0.9799655914306664,Mouse
270836319308,95,3.5800872802734376,Trackpad
270836319308,105,-0.5691625595092787,Trackpad
270836319308,115,-4.418376922607424,Trackpad
270836319308,125,17.276747131347665,Trackpad
272993694525,2,-1.5324802398681654,Trackpad
272993694525,4,-7.52052688598633,Trackpad
272993694525,6,3.3279052734375028,Trackpad
272993694525,8,-8.622778320312488,Trackpad
277495261980,100,-8.935690689086915,Mouse
277495261980,110,-4.824659729003898,Mouse
277495261980,120,-10.510150146484374,Mouse
277495261980,130,-4.0602294921875,Mouse
281449537957,3,8.79560546875,Trackpad
281449537957,5,-7.945499420166014,Trackpad
281449537957,7,0.5197662353515625,Trackpad
281449537957,10,-6.188888549804693,Trackpad
283817955758,2,-8.07148284912109,Trackpad
283817955758,4,5.315629577636718,Trackpad
283817955758,6,10.782943725585927,Trackpad
