ppid,clamp_magnitude,group,pointer,value
524084624601,7,2,Mouse,1.3947509765625
526591815054,7,2,Mouse,-2.701690673828108
560719192726,7,2,Trackpad,2.195745849609369
568911038571,7,2,Mouse,-5.122781372070316
571510386420,7,2,Mouse,-1.5140411376953122
607190310023,7,2,Mouse,-2.880105590820314
610091723036,7,2,Mouse,42.510099792480474
616859448142,7,2,Mouse,-2.942255115509032
662896639900,7,2,Mouse,-5.168582153320314
665972822112,7,2,Mouse,-4.588055419921875
706570674898,7,2,Trackpad,-0.6443267822265568
711049351608,7,2,Trackpad,0.4547729492187614
747682140674,7,2,Trackpad,-1.362727355957031
75254959287,7,2,Trackpad,1.226019287109375
758610083023,7,2,Trackpad,-2.1945190429687504
764955634018,7,2,Mouse,-2.958912658691407
781632843660,7,2,Mouse,8.673494172096254
788534438470,7,2,Trackpad,-2.1426994323730426
802470273105,7,2,Trackpad,32.64092102050781
818668159889,7,2,Mouse,-3.40223388671875
841781280934,7,2,Trackpad,4.019305419921875
856257066596,7,2,Trackpad,-1.1641937255859431
881636635866,7,2,Mouse,-3.583355712890625
928185260389,7,2,Mouse,-0.251611328125
982309131650,7,2,Trackpad,-3.5073303222656307
993634722428,7,2,Trackpad,-1.8697570800781136
141579159069,10,2,Trackpad,4.06387939453125
157286867732,10,2,Trackpad,0.66270751953125
18545178463,10,2,Trackpad,7.08419189453125
244346351129,10,2,Mouse,22.58747406005859
281449537957,10,2,Trackpad,2.041439819335926
286533593898,10,2,Mouse,1.28446044921875
307390059111,10,2,Mouse,-1.2710243225097657
314751828555,10,2,Trackpad,0.16455078125000036
340447094989,10,2,Mouse,1.545225524902349
363396258093,10,2,Mouse,-4.970074462890625
372881010640,10,2,Mouse,-0.32350692749023435
413611575961,10,2,Trackpad,5.461248779296864
42404767125,10,2,Trackpad,3.307470703125
424813729943,10,2,Mouse,17.11110534667969
450325436890,10,2,Mouse,-4.786996459960943
453578034881,10,2,Mouse,-0.0491668701171875
455088283633,10,2,Trackpad,0.273699951171875
47219052677,10,2,Trackpad,-2.12957763671875
485655207419,10,2,Mouse,0.9545425415039063
490372725762,10,2,Trackpad,1.65137939453125
497830706648,10,2,Trackpad,-0.6670257568359379
499781516147,10,2,Mouse,0.7966613769531279
514699809951,10,2,Mouse,2.581854248046875
524084624601,10,2,Mouse,3.26298828125
526591815054,10,2,Mouse,1.327462768554686
560719192726,10,2,Trackpad,-28.908273315429692
568911038571,10,2,Mouse,-4.244586181640625
571510386420,10,2,Mouse,0.4875762939453181
607190310023,10,2,Mouse,5.044947814941404
610091723036,10,2,Mouse,29.37007884979248
616859448142,10,2,Mouse,4.932717895507812
662896639900,10,2,Mouse,-3.218572998046875
665972822112,10,2,Mouse,-2.843819427490234
706570674898,10,2,Trackpad,0.8504882812500002
711049351608,10,2,Trackpad,-2.216510009765625
747682140674,10,2,Trackpad,1.1763603210449218
75254959287,10,2,Trackpad,-3.872893524169922
758610083023,10,2,Trackpad,-0.5891860961914047
764955634018,10,2,Mouse,-3.795440673828125
781632843660,10,2,Mouse,-18.763385009765624
788534438470,10,2,Trackpad,-3.15220642089844
802470273105,10,2,Trackpad,-36.505609130859376
818668159889,10,2,Mouse,-0.9424285888671932
841781280934,10,2,Trackpad,0.23259277343750567
856257066596,10,2,Trackpad,-5.465638732910156
881636635866,10,2,Mouse,-2.385597229003905
