index,ppid,clamp_magnitude,group,pointer,value,n_trials
942,554310866631,40,4,Mouse,8.716567574925733,10
946,554483397398,40,4,Mouse,16.15886111269846,10
1006,575425482820,40,4,Mouse,7.213297947334524,10
1158,65172413131,40,4,Mouse,14.457653642540476,10
1166,654411478666,40,4,Mouse,15.399114019637121,10
1190,664917210582,40,4,Mouse,10.033675740803876,10
1454,769001317210,40,4,Mouse,12.24453381902023,10
1690,86995724355,40,4,Mouse,5.957565019322875,10
1734,890093759633,40,4,Mouse,13.805783020764094,10
1750,894596827216,40,4,Mouse,198.7904740255699,10
1846,942172447685,40,4,Mouse,8.673006867428768,10
1850,942594251362,40,4,Mouse,11.898083675325756,10
1910,993857921566,40,4,Mouse,13.580666671777577,10
1922,995622965740,40,4,Mouse,31.959674927624476,10
55,139654613099,45,3,Mouse,21.99680762629844,10
95,158240405377,45,3,Mouse,21.58533074233936,10
147,193100401433,45,3,Mouse,9.469695490876948,10
199,219942741794,45,3,Mouse,10.632406582537316,10
343,287971476791,45,3,Mouse,16.079761048294074,10
375,306810469599,45,3,Mouse,192.4634170168362,10
383,311279476853,45,3,Mouse,59.27309366145909,10
387,311518904287,45,3,Mouse,35.670287111725216,10
503,37013057852,45,3,Mouse,7.285294730198001,10
507,370640644570,45,3,Mouse,19.135241809135216,10
571,398109816713,45,3,Mouse,11.891023051280827,10
691,456157590029,45,3,Mouse,24.377164159330047,10
851,519645490683,45,3,Mouse,23.663163581696423,10
999,572670224355,45,3,Mouse,12.881608921029901,10
1035,591787668410,45,3,Mouse,80.90407593714657,10
1107,62472867313,45,3,Mouse,11.586029038763227,10
1111,625553694320,45,3,Mouse,3.2501624105341147,10
1383,748730017803,45,3,Mouse,6.95598988749334,10
1451,767939159879,45,3,Mouse,5.362373908816248,10
1459,774480707012,45,3,Mouse,8.555929646700486,10
1487,787634621141,45,3,Mouse,25.744246136737335,10
1507,797606508946,45,3,Mouse,12.624652511066357,10
1575,822554411599,45,3,Mouse,10.385011235180084,10
1867,950401282636,45,3,Mouse,7.243890537917359,10
1879,964304241118,45,3,Mouse,21.353576692682868,10
1883,96435749437,45,3,Mouse,12.937056463124343,10
1903,986917736241,45,3,Mouse,7.504433537745523,10
87,156593167223,50,4,Mouse,14.204714289802222,10
159,204680910799,50,4,Mouse,34.132198474766426,10
175,211178143741,50,4,Mouse,19.27851134589866,10
179,211349502438,50,4,Mouse,24.117146023089205,10
215,23243432166,50,4,Mouse,17.921112393699804,10
391,312810119008,50,4,Mouse,11.699848373262386,10
467,3512277966,50,4,Mouse,43.78625608904257,10
639,432379164500,50,4,Mouse,5.352594305432847,10
811,498719011200,50,4,Mouse,20.640212174067056,10
943,554310866631,50,4,Mouse,8.146058904068921,10
947,554483397398,50,4,Mouse,15.128000647820775,10
1007,575425482820,50,4,Mouse,9.622174471094864,10
1159,65172413131,50,4,Mouse,13.543205379881188,10
1167,654411478666,50,4,Mouse,17.649962250412074,10
1191,664917210582,50,4,Mouse,13.046685023265079,10
1455,769001317210,50,4,Mouse,6.664452907409324,10
1691,86995724355,50,4,Mouse,6.018041692790926,10
1735,890093759633,50,4,Mouse,12.282588311202788,10
1751,894596827216,50,4,Mouse,164.3442892073336,10
1847,942172447685,50,4,Mouse,8.90225777723752,10
1851,942594251362,50,4,Mouse,17.505215736137295,10
1911,993857921566,50,4,Mouse,7.272154884455598,10
1923,995622965740,50,4,Mouse,22.811211977685204,10
12,115921796998,55,5,Mouse,14.510471044692693,10
76,149687730008,55,5,Mouse,25.03484671525139,10
124,175094375154,55,5,Mouse,6.791192418247386,10
148,19706308376,55,5,Mouse,7.407148858283741,10
216,232699431944,55,5,Mouse,20.295664897506764,10
224,234950867248,55,5,Mouse,6.823399593382546,10
236,242302735568,55,5,Mouse,4.3886434559049885,10
328,284887481713,55,5,Mouse,5.841098163990661,10
412,320314205950,55,5,Mouse,13.788572167768283,10
428,329580827848,55,5,Mouse,13.78669417472684,10
472,353520557284,55,5,Mouse,9.987451106940558,10
536,381467347498,55,5,Mouse,20.105436621833242,10
584,406984957400,55,5,Mouse,47.179684181250636,10
604,415114416275,55,5,Mouse,12.891288620924088,10
644,437488567084,55,5,Mouse,5.323404629714918,10
696,46445406973,55,5,Mouse,27.68090319732975,10
700,466064047068,55,5,Mouse,16.414134106929094,10
776,488543499493,55,5,Mouse,12.728686423670997,10
856,52190313348,55,5,Mouse,11.084767373644391,10
872,526302751153,55,5,Mouse,156.91123522254918,10
976,563003797782,55,5,Mouse,7.087097919738942,10
1000,57334981393,55,5,Mouse,24.794270290150102,10
1036,593610742595,55,5,Mouse,5.29851146027577,10
1084,618976041208,55,5,Mouse,47.35713853417076,10
1244,686622809385,55,5,Mouse,5.346341167330872,10
1364,740180686814,55,5,Mouse,27.704734710436185,10
1496,789176471764,55,5,Mouse,242.44814223828337,10
1604,836360013578,55,5,Mouse,170.03169218625993,10
1632,843157436931,55,5,Mouse,32.53013227155798,10
1712,879327289061,55,5,Mouse,11.172296014266433,10
1788,91531718848,55,5,Mouse,49.665071591751385,10
1884,965587163344,55,5,Mouse,130.16340582470283,10
0,104274630779,60,6,Mouse,91.1010795944222,10
44,132760789943,60,6,Mouse,5.923035640034303,10
112,170080221025,60,6,Mouse,48.73844221948874,10
232,239901129854,60,6,Mouse,9.42252051422085,10
284,261405949946,60,6,Mouse,6.006587367496402,10
332,285770176909,60,6,Mouse,11.039160487473813,10
408,31763185048,60,6,Mouse,5.121296315131937,10
460,349368817172,60,6,Mouse,19.62615905501385,10
608,416004814207,60,6,Mouse,8.327392856285217,10
656,448455020785,60,6,Mouse,14.450828724859981,10
716,472660400671,60,6,Mouse,7.32367851411165,10
748,479445978766,60,6,Mouse,20.254236720542725,10
768,486883807927,60,6,Mouse,12.88421128843105,10
824,503219471313,60,6,Mouse,13.821839420598566,10
852,520643238443,60,6,Mouse,4.945378373378799,10
860,522924106102,60,6,Mouse,8.272037786457002,10
984,56767792906,60,6,Mouse,7.171277747326235,10
1160,653112237341,60,6,Mouse,26.288547727664543,10
1256,690112326992,60,6,Mouse,8.531888181678418,10
1268,698263481259,60,6,Mouse,20.452434794615804,10
1272,698323606979,60,6,Mouse,13.492907096842405,10
1280,70501195034,60,6,Mouse,14.421947642161333,10
1312,712610918562,60,6,Mouse,10.666460977217492,10
1332,720964792417,60,6,Mouse,26.44966118638958,10
1340,72586384601,60,6,Mouse,21.432575071633867,10
1352,73180105537,60,6,Mouse,20.551889472535148,10
1368,74249908328,60,6,Mouse,10.88244085863818,10
1524,804624028969,60,6,Mouse,41.87071769341979,10
1540,812418627319,60,6,Mouse,83.87524781309105,10
1592,830310877645,60,6,Mouse,12.29610374190744,10
1928,998236395651,60,6,Mouse,62.15871253551889,10
13,115921796998,65,5,Mouse,15.653973401532628,10
77,149687730008,65,5,Mouse,15.894142402636485,10
125,175094375154,65,5,Mouse,6.036651268227543,10
149,19706308376,65,5,Mouse,14.746307694144516,10
217,232699431944,65,5,Mouse,10.451775802855883,10
225,234950867248,65,5,Mouse,15.104020905643129,10
