measure,phase,clamp_magnitude,n_participants,phase_center_median,mean,mean_ci_low,mean_ci_high,sd,sd_ci_low,sd_ci_high,median,q25,q75,mean_abs_dev,mean_abs_dev_ci_low,mean_abs_dev_ci_high,median_abs_dev
Between-participant spread of mean hand angle,Late adaptation,70,46,20.177906036376953,21.27480950224335,15.213725165188382,27.33589383929832,20.4102104471911,16.094614946395264,23.664596239510647,20.177906036376953,12.303577160835266,36.68810498714447,15.550734946860569,11.671896068591009,19.42957382513013,12.270391750335689
Between-participant spread of mean hand angle,Baseline,75,48,-0.008739471435545251,0.36597666442394267,-5.936623802914093,6.668577131761978,21.70543199728634,5.051342477566546,33.42791952155432,-0.008739471435545251,-2.1610208511352544,2.4494293212890623,8.131036972006163,2.2964927838471514,13.965581160165174,2.3921466827392583
Between-participant spread of mean hand angle,Late adaptation,75,48,23.921697998046874,25.672936323250173,17.86137289579795,33.4844997507024,26.902127089560828,16.971714973235,35.59465742890291,23.921697998046874,7.247739923000335,35.0259467124939,18.215142738908373,12.495480238264395,23.93480523955235,13.933757334947586
Between-participant spread of mean hand angle,Baseline,80,46,0.09344558715820299,-1.422143185657004,-3.7181324185189943,0.8738460472049867,7.731557724862112,3.7217535248292526,11.34241102941417,0.09344558715820299,-2.8754226684570225,1.7942764282226562,4.179230777077055,2.203343349699774,6.155118204454336,2.082495117187503
Between-participant spread of mean hand angle,Late adaptation,80,46,17.980152159929276,15.601275223396398,9.54194256634791,21.660607880444886,20.404311806687154,16.60752505265619,23.410331307129535,17.980152159929276,1.4544604301452635,32.54757537841797,17.194360486482793,13.942580575602054,20.446140397363532,15.508716782927515
Between-participant spread of mean hand angle,Baseline,85,48,-0.4983963012695256,-4.273619157075881,-11.096929395845962,2.549691081694199,23.498696633480925,4.160628371982544,39.438031174494284,-0.4983963012695256,-4.7569942474365146,1.4015983581543023,7.009976925452551,0.41047279959720395,13.609481051307899,2.48282470703125
Between-participant spread of mean hand angle,Late adaptation,85,48,19.23172960281372,22.555828459669527,14.942086649790438,30.169570269548615,26.22085216342856,15.770323651554994,36.85908823180177,19.23172960281372,8.87949371337891,34.30235500335693,17.1748898959253,11.385199418442664,22.964580373407937,11.797215270996093
Between-participant spread of mean hand angle,Baseline,90,46,-0.7521942138671793,-1.2718882078709803,-3.6286986579058977,1.0849222421639368,7.9363682460694305,5.092577638285499,10.390528142950565,-0.7521942138671793,-4.296503448486331,2.9353960990905756,5.200084348865179,3.4277271286729696,6.972441569057388,3.70477294921875
Between-participant spread of mean hand angle,Late adaptation,90,46,17.16636352539063,18.557972720783688,13.143455659172446,23.97248978239493,18.232947530819025,13.398514663903146,22.658860407478997,17.16636352539063,6.426421737670899,26.342240169644356,13.289694889084158,9.605922403748925,16.973467374419393,10.71311645507813
Between-participant spread of mean hand angle,Baseline,95,49,-0.5311355590820312,0.5847980966373355,-4.486065025598069,5.655661218872741,17.654147139876365,6.335294460438782,28.247269289120894,-0.5311355590820312,-4.547137451171875,2.037384033203125,7.274885177612305,2.653069731978081,11.896700623246527,3.1778884887695313
Between-participant spread of mean hand angle,Late adaptation,95,49,10.32991371154785,15.27289024698643,6.957903125815868,23.58787736815699,28.948524652467917,15.03014368738599,42.57473701554731,10.32991371154785,3.263709449768065,26.250274658203125,16.473729460541993,9.521007326616589,23.426451594467395,7.501659774780276
Between-participant spread of mean hand angle,Baseline,100,48,-0.31650161743164645,6.485023013750712,-1.4478070652039348,14.417853092705357,27.319755506809383,5.0039989210751505,42.218601197990495,-0.31650161743164645,-3.0652233123779253,2.226937866210939,9.75698435306549,2.0943598463908515,17.41960885974013,2.704725646972656
Between-participant spread of mean hand angle,Late adaptation,100,48,16.943542480468757,15.262845617963466,8.065865561158603,22.45982567476833,24.785572561413247,12.795387395287431,36.852994435544545,16.943542480468757,2.5451423883438093,24.043478202819827,15.0633729223744,9.362382867376912,20.76436297737189,10.634529399871834
Between-participant spread of mean hand angle,Baseline,105,49,0.4457885742187443,4.762254006522044,-0.13413818895471508,9.658646201998803,17.046728769792274,6.833249471622518,26.61499764345788,0.4457885742187443,-1.6138824462890624,3.727832794189453,7.685841167216397,3.1505684654593056,12.22111386897349,2.7571929931640624
Between-participant spread of mean hand angle,Late adaptation,105,49,12.90488586425781,16.4365763503678,9.071081354386006,23.802071346349596,25.642879581368668,12.981472761948307,38.157654672468,12.90488586425781,4.9092727661132844,23.55594711303711,14.323161302780619,8.156912225567917,20.489410379993323,8.706818389892574
Between-participant spread of mean hand angle,Baseline,110,48,1.3743133544921928,-0.037482472260792786,-6.910099247610943,6.835134303089357,23.668502681366494,6.585462268589144,36.08861453742055,1.3743133544921928,-1.7668342590332187,4.116441535949707,9.469853007793427,3.17045294001369,15.769253075573165,3.0487918853759854
