ppid,clamp_magnitude,raw_signed_baseline_bias,signed_clamp_angle,target_clamp_sign,pointer
665972822112,7,7.591533660888672,7.0,1,Mouse
665972822112,10,32.65397491455078,10.0,1,Mouse
666880505392,2,-19.371030426025392,-2.0,-1,Mouse
666880505392,4,18.219852447509766,-4.0,-1,Mouse
666880505392,6,-18.177888488769533,-6.0,-1,Mouse
666880505392,8,2.315109252929685,-8.0,-1,Mouse
666909089777,2,9.917806243896482,2.0,1,Trackpad
666909089777,4,16.89222793579102,4.0,1,Trackpad
666909089777,6,-12.009626007080081,6.0,1,Trackpad
666909089777,8,-28.73633575439453,8.0,1,Trackpad
667250633006,20,2.485130310058595,-20.0,-1,Trackpad
667250633006,30,-2.280426025390639,-30.0,-1,Trackpad
667250633006,40,-16.230234909057618,-40.0,-1,Trackpad
667250633006,50,-1.6223754882812504,-50.0,-1,Trackpad
668861049227,2,-0.12865905761718732,2.0,1,Mouse
668861049227,4,8.678036499023435,4.0,1,Mouse
668861049227,6,-3.3415573120117172,6.0,1,Mouse
668861049227,8,6.624957275390626,8.0,1,Mouse
669404158834,15,-12.388291931152343,-15.0,-1,Trackpad
669404158834,25,9.340835571289062,-25.0,-1,Trackpad
669404158834,35,-1.8324134826660157,-35.0,-1,Trackpad
669404158834,45,-1.7785614013671882,-45.0,-1,Trackpad
671348925214,2,0.31614227294921016,-2.0,-1,Mouse
671348925214,4,3.3011028289794937,-4.0,-1,Mouse
671348925214,6,-3.985787200927734,-6.0,-1,Mouse
671348925214,8,-3.5312713623046874,-8.0,-1,Mouse
676818776410,15,7.361445617675781,15.0,1,Trackpad
676818776410,25,-4.13964729309082,25.0,1,Trackpad
676818776410,35,4.210440063476545,35.0,1,Trackpad
676818776410,45,-11.318232727050779,45.0,1,Trackpad
678681607125,105,38.406010437011716,-105.0,-1,Trackpad
67981741856,100,1.91243896484375,-100.0,-1,Mouse
67981741856,110,-2.860807800292977,-110.0,-1,Mouse
67981741856,120,0.40350036621092594,-120.0,-1,Mouse
67981741856,130,-4.873747253417967,-130.0,-1,Mouse
679935650900,95,-13.249328613281255,95.0,1,Trackpad
679935650900,105,4.4797119140625,105.0,1,Trackpad
679935650900,115,18.37250213623047,115.0,1,Trackpad
679935650900,125,2.3324146270751944,125.0,1,Trackpad
68466946249,30,-6.974911499023439,30.0,1,Trackpad
68466946249,40,17.085266876220704,40.0,1,Trackpad
686622809385,55,-11.496646690368653,55.0,1,Mouse
686622809385,65,5.490663146972645,65.0,1,Mouse
686622809385,75,-14.300724792480466,75.0,1,Mouse
686622809385,85,-5.399920654296875,85.0,1,Mouse
688420796301,140,-6.467956924438477,-140.0,-1,Mouse
688420796301,150,-17.306240844726567,-150.0,-1,Mouse
688420796301,160,-8.812133026123051,-160.0,-1,Mouse
688420796301,170,-9.710388183593755,-170.0,-1,Mouse
689640711294,135,-5.179132080078125,135.0,1,Mouse
689640711294,145,-12.499078369140637,145.0,1,Mouse
689640711294,155,-10.572715759277347,155.0,1,Mouse
689640711294,165,-16.222860717773436,165.0,1,Mouse
690112326992,60,-7.729913330078132,60.0,1,Mouse
690112326992,70,-12.265866088867185,70.0,1,Mouse
690112326992,80,-10.249167537689209,80.0,1,Mouse
690112326992,90,-16.247924041748046,90.0,1,Mouse
69378932239,95,6.19278564453125,-95.0,-1,Trackpad
69378932239,105,-8.755903625488283,-105.0,-1,Trackpad
69378932239,115,-2.5184545516967765,-115.0,-1,Trackpad
69378932239,125,13.040692138671876,-125.0,-1,Trackpad
694313736399,100,-1.6712219238281307,100.0,1,Trackpad
694313736399,110,-5.242361450195312,110.0,1,Trackpad
694313736399,120,9.427301025390625,120.0,1,Trackpad
694313736399,130,-4.0175041198730455,130.0,1,Trackpad
698263481259,60,-0.03993301391601563,60.0,1,Mouse
698263481259,70,6.673117065429679,70.0,1,Mouse
698263481259,80,-2.377499389648443,80.0,1,Mouse
698263481259,90,-14.674958622455597,90.0,1,Mouse
