break_length,check_movement_timeout,clamp_angle,clamp_angle_relative,clamped,completion_code,cursor_properties,cursor_scale,cursor_stationary_wait,cursor_style,cursor_visibility,experiment_type,group,mouse_sensitivity,movement_timeout,n_break,n_repetitions,play_audio_feedback,ppid_session_dataname,progress_in_break,return_hand_wait,show_endpoint_feedback,show_score,show_text_feedback,target_circle_radius,target_scale,token_id
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.00835536140948534,"[0.0, 0.30000001192092896]",3,240,Full,6196976173_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,469
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.004761913325637579,"[0.0, 0.30000001192092896]",3,240,Full,283817955758_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,43
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.013434880413115025,"[0.0, 0.30000001192092896]",3,240,Full,788534438470_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,89
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.009523811750113964,"[0.0, 0.30000001192092896]",3,240,Full,712610918562_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,276
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.009214358404278755,"[0.0, 0.30000001192092896]",3,240,Full,707165035419_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,295
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,2,0.011111092753708363,"[0.0, 0.30000001192092896]",3,240,Full,917476948583_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,132
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.00965505838394165,"[0.0, 0.30000001192092896]",3,240,Full,299489942844_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,46
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.009260207414627075,"[0.0, 0.30000001192092896]",3,240,Full,630191511008_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,318
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,7,0.009053549729287624,"[0.0, 0.30000001192092896]",3,240,Full,905631664907_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,343
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.009838985279202461,"[0.0, 0.30000001192092896]",3,240,Full,248674978269_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,465
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.009168228134512901,"[0.0, 0.30000001192092896]",3,240,Full,172440417576_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,314
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,2,0.009259278886020184,"[0.0, 0.30000001192092896]",3,240,Full,950401282636_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,109
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.009659882634878159,"[0.0, 0.30000001192092896]",3,240,Full,542684882646_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,34
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.013020852580666542,"[0.0, 0.30000001192092896]",3,240,Full,38639956153_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,44
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,9,0.013346993364393711,"[0.0, 0.30000001192092896]",3,240,Full,491837100125_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,478
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.00925926212221384,"[0.0, 0.30000001192092896]",3,240,Full,879327289061_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,213
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.019499460235238075,"[0.0, 0.30000001192092896]",3,240,Full,750626990804_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,38
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,2,0.005482458043843508,"[0.0, 0.30000001192092896]",3,240,Full,96435749437_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,100
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.0055555603466928005,"[0.0, 0.30000001192092896]",3,240,Full,11866547632_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,269
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.009633947163820267,"[0.0, 0.30000001192092896]",3,240,Full,881636635866_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,92
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,8,0.009765627793967724,"[0.0, 0.30000001192092896]",3,240,Full,934420693200_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,400
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.00925925187766552,"[0.0, 0.30000001192092896]",3,240,Full,132760789943_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,244
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.00919557735323906,"[0.0, 0.30000001192092896]",3,240,Full,455411954782_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,307
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,8,0.013020838610827923,"[0.0, 0.30000001192092896]",3,240,Full,530454018851_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,410
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,3,0.013020881451666355,"[0.0, 0.30000001192092896]",3,240,Full,643459252314_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,148
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,6,0.008927037939429283,"[0.0, 0.30000001192092896]",3,240,Full,529356644721_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,335
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,5,0.013725923374295235,"[0.0, 0.30000001192092896]",3,240,Full,56767792906_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,251
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,7,0.013020842336118221,"[0.0, 0.30000001192092896]",3,240,Full,251308053499_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,370
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,4,0.013022120110690594,"[0.0, 0.30000001192092896]",3,240,Full,320314205950_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,235
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,1,0.013020833022892475,"[0.0, 0.30000001192092896]",3,240,Full,982309131650_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,73
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.009030383080244064,"[0.0, 0.30000001192092896]",3,240,Full,822205019881_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,18
60,True,0,0,True,77E7D184,CursorProperties,0.5,0.30000001192092896,Circle,TrialOnly,prolific,0,0.009146011434495449,"[0.0, 0.30000001192092896]",3,240,Full,123183469520_s001_settings,True,1.5,Full,False,ErrorOnly,4,0.5,31
