age,browser_version,computer,consent_time,gender,hand,height_px,monitor,pointer,ppid_session_dataname,px_ratio,width_px
38.0,"Chrome, 116",Desktop,10/13/2023 1:05:29 PM,Female,Right,1440,External Monitor,Mouse,668861049227_s001_participant_details,1,2560
50.0,"Chrome, 119",Desktop,10/13/2023 1:11:15 PM,Male,Right,627,External Monitor,Mouse,214060187805_s001_participant_details,1.5524998903274536,1114
55.0,"Chrome, 117",Laptop,10/13/2023 1:08:05 PM,Male,Right,720,Laptop Monitor,Trackpad,866262106690_s001_participant_details,1.5,1280
31.0,"Firefox, 118",Desktop,10/12/2023 2:05:33 PM,Male,Right,864,External Monitor,Mouse,607190310023_s001_participant_details,2.5,1638
46.0,"Chrome, 117",Laptop,10/13/2023 1:18:31 PM,Male,Right,960,Laptop Monitor,Mouse,376660312758_s001_participant_details,1.25,1536
36.0,"Chrome, 117",Laptop,10/13/2023 1:15:55 PM,Male,Right,1080,Laptop Monitor,Mouse,334186456864_s001_participant_details,1,1920
30.0,"Chrome, 117",Laptop,10/12/2023 1:49:50 PM,Female,Right,720,Laptop Monitor,Trackpad,876915090018_s001_participant_details,1.5,1280
22.0,"Chrome, 118",Laptop,10/13/2023 1:06:23 PM,Female,Right,720,Laptop Monitor,Mouse,836360013578_s001_participant_details,1.5,1280
21.0,"Chrome, 117",Desktop,10/13/2023 1:04:55 PM,Male,Right,1080,External Monitor,Mouse,625553694320_s001_participant_details,1,1920
42.0,"Chrome, 116",Desktop,10/13/2023 1:05:32 PM,Female,Right,1440,External Monitor,Mouse,287971476791_s001_participant_details,1,2560
25.0,"Chrome, 116",Laptop,10/18/2023 1:01:55 PM,Male,Right,956,Laptop Monitor,Trackpad,219666297547_s001_participant_details,2,1470
20.0,"Chrome, 118",Desktop,10/13/2023 1:02:22 PM,Male,Right,1080,External Monitor,Mouse,406984957400_s001_participant_details,1,1920
34.0,"Chrome, 117",Laptop,10/13/2023 1:05:58 PM,Male,Right,1080,External Monitor,Mouse,529569773934_s001_participant_details,1,1920
