group,perturbSize,sub,trialType,cycleNum,handangle
1,2,5,1,71,4.55821835180851
1,2,5,1,72,8.8321093287957
1,2,5,1,73,14.1578971391713
1,2,5,1,74,13.6380715429554
1,2,5,1,75,11.6699466612416
1,2,5,1,76,10.8725089805506
1,2,5,1,77,12.2246356725709
1,2,5,1,78,12.8217844402957
1,2,5,1,79,11.613075296801
1,2,5,1,80,12.6516128046156
1,2,5,1,81,14.5338863979207
1,2,5,1,82,9.44353080719529
1,2,5,1,83,12.7763085196155
1,2,5,1,84,15.5021992117999
1,2,5,1,85,17.3839494794354
1,2,5,1,86,14.4108704423348
1,2,5,1,87,18.3950918472256
1,2,5,1,88,16.3726461944539
1,2,5,1,89,12.6491781083091
1,2,5,1,90,12.2367430204158
1,2,5,1,91,17.1257071753848
1,2,5,1,92,16.6793420530188
1,2,5,1,93,13.2456048939998
1,2,5,1,94,14.0479887554038
1,2,5,1,95,16.3015116809068
1,2,5,1,96,15.5031195894535
1,2,5,1,97,16.5245725144599
1,2,5,1,98,17.5482021002224
1,2,5,1,99,18.4611607304245
1,2,5,1,100,18.2331808011186
1,2,5,1,101,13.5013546462462
1,2,5,1,102,14.9947851264994
1,2,5,1,103,14.5346253565689
1,2,5,1,104,16.5797587231588
1,2,5,1,105,18.5037510172251
1,2,5,1,106,10.5129907668721
1,2,5,1,107,6.6753278721476
1,2,5,1,108,5.62042790582645
1,2,5,1,109,8.97989158853148
1,2,5,1,110,16.8993885690858
1,2,5,2,111,9.14630312483478
1,2,5,2,112,14.8434717230214
1,2,5,2,113,10.8278148860646
1,2,5,2,114,8.8863695996866
1,2,5,2,115,1.83730990124926
1,2,5,2,116,10.2468289948527
1,2,5,2,117,7.60390182961738
1,2,5,2,118,13.3783730758246
1,2,5,2,119,10.5342515314126
1,2,5,2,120,8.96222244222825
1,2,6,0,1,-0.0953005570107424
1,2,6,0,2,-2.67775159696107
1,2,6,0,3,0.0391468369988498
1,2,6,0,4,0.0252928440935205
1,2,6,0,5,-1.85816454963174
1,2,6,0,6,-0.458266185088661
1,2,6,0,7,-1.23974499674775
1,2,6,0,8,-1.14345897761821
1,2,6,0,9,0.461201611708785
1,2,6,0,10,-0.256333327779041
1,2,6,0,11,-3.5642613548156
1,2,6,0,12,3.54144674545433
1,2,6,0,13,-6.57098875150397
1,2,6,0,14,-1.27496931785102
1,2,6,0,15,-4.12467257568986
1,2,6,0,16,-0.222295259540421
1,2,6,0,17,-2.62668879604717
1,2,6,0,18,-0.106278011985834
1,2,6,0,19,-1.20824541859759
1,2,6,0,20,-1.25787182610877
1,2,6,0,21,0.251517577868612
1,2,6,0,22,-0.467736134863005
1,2,6,0,23,-0.0807775276107927
1,2,6,0,24,-0.258444247621756
1,2,6,0,25,0.724844235268842
1,2,6,0,26,2.83927901161768
1,2,6,0,27,-1.93653585476615
1,2,6,0,28,-0.0983556815163726
1,2,6,0,29,3.01810822525
1,2,6,0,30,-0.305691944890096
1,2,6,1,31,-0.493330238525115
1,2,6,1,32,2.14676476624231
1,2,6,1,33,-1.78356323243494
1,2,6,1,34,-0.543992819011515
1,2,6,1,35,0.555179261011156
1,2,6,1,36,1.67186866652729
1,2,6,1,37,0.396966196321075
1,2,6,1,38,4.29738019136383
1,2,6,1,39,0.760483412638692
1,2,6,1,40,1.90124775175343
1,2,6,1,41,-0.626757971397228
1,2,6,1,42,5.40867042294061
1,2,6,1,43,3.30721552457986
1,2,6,1,44,0.678537094350267
1,2,6,1,45,1.07311763488
1,2,6,1,46,0.0743066022870944
1,2,6,1,47,1.52889192633459
1,2,6,1,48,1.95201037938336
1,2,6,1,49,1.25517012092542
1,2,6,1,50,-1.47683571949583
1,2,6,1,51,2.22911794174725
1,2,6,1,52,2.44959322539051
1,2,6,1,53,2.21124773659782
1,2,6,1,54,1.66924233322577
1,2,6,1,55,0.379447275826725
1,2,6,1,56,1.5476632540532
1,2,6,1,57,1.5485548269797
1,2,6,1,58,1.49645253477715
1,2,6,1,59,3.6864140560129
1,2,6,1,60,0.783638092190664
1,2,6,1,61,0.971802634367381
1,2,6,1,62,2.65735239677296
1,2,6,1,63,3.29220775839929
1,2,6,1,64,2.94040385403353
1,2,6,1,65,0.581341000448911
1,2,6,1,66,3.30839198238916
1,2,6,1,67,3.61948731835348
1,2,6,1,68,1.11432653289104
1,2,6,1,69,-1.28335908706315
1,2,6,1,70,-1.0471677779903
1,2,6,1,71,2.48203522023512
1,2,6,1,72,4.83131300805019
1,2,6,1,73,4.81702760586536
1,2,6,1,74,0.986424747408969
1,2,6,1,75,0.691952065374257
1,2,6,1,76,5.92303343892072
1,2,6,1,77,3.53373710776893
1,2,6,1,78,2.75363498460744
1,2,6,1,79,6.3873100438738
1,2,6,1,80,1.7704231643165
1,2,6,1,81,3.82209523501711
1,2,6,1,82,7.1685929585965
1,2,6,1,83,5.91702879631024
1,2,6,1,84,3.8086418903564
1,2,6,1,85,7.28671131153779
1,2,6,1,86,5.50298668339992
1,2,6,1,87,8.27134478579087
1,2,6,1,88,4.26005939605341
1,2,6,1,89,4.99929481405399
1,2,6,1,90,5.53535523696248
1,2,6,1,91,8.64111249116258
1,2,6,1,92,5.36452500197412
1,2,6,1,93,6.2523201585953
1,2,6,1,94,5.65384495031625
1,2,6,1,95,3.73147468972543
1,2,6,1,96,4.86805837923027
1,2,6,1,97,5.42121738125742
1,2,6,1,98,5.49219966430053
1,2,6,1,99,2.47856298136242
1,2,6,1,100,6.07232820891122
1,2,6,1,101,5.0915542683139
1,2,6,1,102,7.68002976418122
1,2,6,1,103,2.75662344339958
1,2,6,1,104,3.02382041728204
1,2,6,1,105,2.861703896803
1,2,6,1,106,6.91017906236302
1,2,6,1,107,7.3712333795411
1,2,6,1,108,4.58123756957802
1,2,6,1,109,5.59762711801095
1,2,6,1,110,4.23288107456862
1,2,6,2,111,6.18182722583273
1,2,6,2,112,7.91614495199248
1,2,6,2,113,5.29853634991921
1,2,6,2,114,4.80176138276723
1,2,6,2,115,6.70735314269349
1,2,6,2,116,8.30209921036745
1,2,6,2,117,3.73731273376196
1,2,6,2,118,5.95849566359523
1,2,6,2,119,1.92805762501254
1,2,6,2,120,2.9325924841135
1,2,7,0,1,-4.59443438153972
1,2,7,0,2,-2.11990104641872
1,2,7,0,3,-1.56874178104399
1,2,7,0,4,-0.395005234565738
1,2,7,0,5,-2.40908335817707
